start.country,start.city,start.latitude,start.longitude,end.country,end.city,end.latitude,end.longitude,date,journey,number.of.letters
USA,Albany,42.652579,-73.756232,GER,Steinreinach,48.840875,9.365588,26-11-1861,-73.756232 42.652579 -73.756232 42.652579,28
USA,Albany,42.652579,-73.756232,GER,Steinreinach,48.840875,9.365588,13-05-1862,-73.756232 42.652579 -73.756232 42.652579,28
USA,New,40.712784,-74.005941000000007,GER,Steinreinach,48.840875,9.365588,22-02-1863,-74.005941 40.712784 -74.005941 40.712784,260
USA,Albany,42.652579,-73.756232,GER,Steinreinach,48.840875,9.365588,01-03-1863,-73.756232 42.652579 -73.756232 42.652579,28
USA,Albany,42.652579,-73.756232,GER,Steinreinach,48.840875,9.365588,01-04-1868,-73.756232 42.652579 -73.756232 42.652579,28
USA,Albany,42.652579,-73.756232,GER,Steinreinach,48.840875,9.365588,19-02-1882,-73.756232 42.652579 -73.756232 42.652579,28
USA,Albany,42.652579,-73.756232,GER,Steinreinach,48.840875,9.365588,18-02-1883,-73.756232 42.652579 -73.756232 42.652579,28
USA,Chicago,41.878114,-87.629798,GER,Rhaunen,49.864374,7.345225,23-10-1845,-87.629798 41.878114 -87.629798 41.878114,22
USA,Chicago,41.878114,-87.629798,GER,Rhaunen,49.864374,7.345225,NA,-87.629798 41.878114 -87.629798 41.878114,22
USA,Milwaukee,43.038903,-87.906474,GER,Hundheim,49.834928,7.15164,29-07-1904,-87.906474 43.038903 -87.906474 43.038903,65
USA,Philadelphia,39.952584,-75.165222,GER,heutiges,50.118346,7.308953,02-09-1891,-75.165222 39.952584 -75.165222 39.952584,5
USA,Philadelphia,39.952584,-75.165222,GER,heutiges,50.118346,7.308953,01-12-1892,-75.165222 39.952584 -75.165222 39.952584,5
USA,Montgomery,32.366805,-86.299969,GER,Lauenburg,53.376252,10.54967,01-01-1842,-86.299969 32.366805 -86.299969 32.366805,3
USA,Montgomery,32.366805,-86.299969,GER,Lauenburg,53.376252,10.54967,NA,-86.299969 32.366805 -86.299969 32.366805,3
USA,Baltimore,39.290385,-76.612189,GER,Lauenburg,53.376252,10.54967,23-07-1844,-76.612189 39.290385 -76.612189 39.290385,19
USA,Baltimore,39.290385,-76.612189,GER,Lauenburg,53.376252,10.54967,06-11-1844,-76.612189 39.290385 -76.612189 39.290385,19
USA,Oakland,37.804364,-122.271114,GER,Siegen,50.883849,8.020959,18-02-1907,-122.271114 37.804364 -122.271114 37.804364,8
USA,Pierson,42.544156,-95.867513,GER,Herbsen,51.429553,9.055427,02-04-1893,-95.867513 42.544156 -95.867513 42.544156,3
USA,Pierson,42.544156,-95.867513,GER,Herbsen,51.429553,9.055427,18-04-1898,-95.867513 42.544156 -95.867513 42.544156,3
USA,Pierson,42.544156,-95.867513,GER,Herbsen,51.429553,9.055427,08-04-1901,-95.867513 42.544156 -95.867513 42.544156,3
USA,Houghton,47.121133,-88.569418,GER,Auw,50.300226,6.337951,01-01-1891,-88.569418 47.121133 -88.569418 47.121133,1
USA,Chicago,41.878114,-87.629798,GER,Auw,50.300226,6.337951,06-04-1898,-87.629798 41.878114 -87.629798 41.878114,22
USA,Racine,42.726131,-87.782852,GER,Kohlscheid,50.830307,6.087242,08-09-1892,-87.782852 42.726131 -87.782852 42.726131,1
USA,New,40.712784,-74.005941000000007,GER,Irrel,49.847052,6.456874,NA,-74.005941 40.712784 -74.005941 40.712784,260
USA,New,40.712784,-74.005941000000007,GER,Irrel,49.847052,6.456874,26-10-1862,-74.005941 40.712784 -74.005941 40.712784,260
USA,New,40.712784,-74.005941000000007,USA,Steubenville,40.369791,-80.633964,13-06-1839,-74.005941 40.712784 -74.005941 40.712784,260
USA,Columbus,39.961176,-82.998794,USA,Pittsburgh,40.440625,-79.995886,09-08-1838,-82.998794 39.961176 -82.998794 39.961176,7
USA,Quincy,39.935602,-91.409873,GER,Herford,52.117831,8.6794,18-02-1916,-91.409873 39.935602 -91.409873 39.935602,4
USA,Quincy,39.935602,-91.409873,GER,Herford,52.117831,8.6794,18-03-1923,-91.409873 39.935602 -91.409873 39.935602,4
USA,Quincy,39.935602,-91.409873,GER,Herford,52.117831,8.6794,29-04-1923,-91.409873 39.935602 -91.409873 39.935602,4
USA,Quincy,39.935602,-91.409873,GER,Herford,52.117831,8.6794,16-09-1923,-91.409873 39.935602 -91.409873 39.935602,4
USA,Hoyleton,38.441716,-89.274245,GER,Rothenuffeln,52.289057,8.796478,NA,-89.274245 38.441716 -89.274245 38.441716,9
USA,Hoyleton,38.441716,-89.274245,GER,Rothenuffeln,52.289057,8.796478,10-08-1881,-89.274245 38.441716 -89.274245 38.441716,9
USA,Hoyleton,38.441716,-89.274245,GER,Rothenuffeln,52.289057,8.796478,09-01-1883,-89.274245 38.441716 -89.274245 38.441716,9
USA,Hoyleton,38.441716,-89.274245,GER,Rothenuffeln,52.289057,8.796478,04-10-1883,-89.274245 38.441716 -89.274245 38.441716,9
USA,Hoyleton,38.441716,-89.274245,GER,Rothenuffeln,52.289057,8.796478,15-06-1884,-89.274245 38.441716 -89.274245 38.441716,9
USA,Hoyleton,38.441716,-89.274245,GER,Rothenuffeln,52.289057,8.796478,08-02-1885,-89.274245 38.441716 -89.274245 38.441716,9
USA,Hoyleton,38.441716,-89.274245,GER,Rothenuffeln,52.289057,8.796478,01-03-1885,-89.274245 38.441716 -89.274245 38.441716,9
USA,Rockford,47.452121,-117.130747,GER,Rothenuffeln,52.289057,8.796478,24-07-1888,-117.130747 47.452121 -117.130747 47.452121,1
USA,Irvington,38.439216,-89.162851,GER,Rothenuffeln,52.289057,8.796478,05-02-1906,-89.162851 38.439216 -89.162851 38.439216,1
GER,Friedberg,50.324893,8.74087,GER,Lanzenhain,50.102536,8.399114,15-05-1859,8.74087 50.324893 8.74087 50.324893,1
USA,Arenzville,39.876992,-90.373457,GER,Lanzenhain,50.102536,8.399114,12-07-1863,-90.373457 39.876992 -90.373457 39.876992,5
USA,Arenzville,39.876992,-90.373457,GER,Lanzenhain,50.102536,8.399114,NA,-90.373457 39.876992 -90.373457 39.876992,5
GER,Offenbach,50.681562,7.169075,GER,Lanzenhain,50.102536,8.399114,18-08-1863,7.169075 50.681562 7.169075 50.681562,1
USA,Johnstown,40.326741,-78.92197,GER,Lanzenhain,50.102536,8.399114,NA,-78.92197 40.326741 -78.92197 40.326741,1
USA,Chandlerville,40.048103,-90.155119,GER,Lanzenhain,50.102536,8.399114,24-01-1864,-90.155119 40.048103 -90.155119 40.048103,27
GER,Frankfurt,50.110922,8.682127,GER,Lanzenhain,50.102536,8.399114,13-12-1864,8.682127 50.110922 8.682127 50.110922,1
USA,Chandlerville,40.048103,-90.155119,GER,Lanzenhain,50.102536,8.399114,29-01-1865,-90.155119 40.048103 -90.155119 40.048103,27
USA,Chandlerville,40.048103,-90.155119,GER,Lanzenhain,50.102536,8.399114,05-03-1865,-90.155119 40.048103 -90.155119 40.048103,27
